Source,Lat,Lon,Elev,Year,Month,d13Catm,Type,Species,Family,Biome,leaf_N_g_kg,leaf_C_g_kg,leaf_d15N,leaf_d13C,leaf_D13C,soil_d15N,soil_d13C,soil_C_g_kg,soil_N_g_kg,country,soil_type,soil_depth,sitename,sample_time,Notes
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-29.8,34.82,1.8,Belgium,,0.953895,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-29.5,62.77,,Belgium,,1.22137,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-29.1,4.42,,Belgium,,1.37405,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-29.5,29.17,,Belgium,,2.86169,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-29.2,52.89,,Belgium,,3.81679,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-28.7,33.19,,Belgium,,3.96947,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-29.2,25.23,,Belgium,,4.92846,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.9,45.19,,Belgium,,6.25954,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-28.2,24,,Belgium,,6.41221,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-28.4,23.39,,Belgium,,6.83625,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.5,38.62,,Belgium,,8.77863,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-28.5,23.12,,Belgium,,8.90302,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.9,19.72,,Belgium,,8.9313,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-28.2,18.99,,Belgium,,10.9698,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.5,37.96,,Belgium,,11.2214,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.8,16.92,,Belgium,,11.4504,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-27.7,14.96,,Belgium,,12.8776,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.3,3.73,,Belgium,,13.6641,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.7,16.43,,Belgium,,13.8168,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-27.1,12.37,,Belgium,,14.7854,Melle,,Wang et al. (2018)
Accoe et al. (2003),51.28,8.83,,,,,,,,,,,,,,,-28.2,26.95,,Belgium,,16.2595,Watervliet,,Wang et al. (2018)
Accoe et al. (2003),51.25,4.77,,,,,,,,,,,,,,,-27.6,15.61,,Belgium,,16.4122,Wechelderzande,,Wang et al. (2018)
Accoe et al. (2003),50.98,3.78,,,,,,,,,,,,,,,-27.4,9.5,,Belgium,,17.0111,Melle,,Wang et al. (2018)
