--------------------------------	
CMIP6 CO2 Global Means
Averages of monthly data from Meinshausen
mole_fraction_of_carbon_dioxide_in_air
HDG 21 Jun 2018	
--------------------------------
1850.5	284.31699
1851.5	284.45102
1852.5	284.59802
1853.5	284.73099
1854.5	284.84598
1855.5	284.94098
1856.5	285.04901
1857.5	285.20401
1858.5	285.36899
1859.5	285.54498
1860.5	285.73898
1861.5	285.93298
1862.5	286.10001
1863.5	286.27100
1864.5	286.44202
1865.5	286.61398
1866.5	286.78098
1867.5	286.95499
1868.5	287.10501
1869.5	287.22501
1870.5	287.35498
1871.5	287.49402
1872.5	287.66400
1873.5	287.85999
1874.5	288.06100
1875.5	288.29099
1876.5	288.52002
1877.5	288.75198
1878.5	288.99301
1879.5	289.22098
1880.5	289.47000
1881.5	289.73700
1882.5	290.01901
1883.5	290.26303
1884.5	290.51199
1885.5	290.79697
1886.5	291.10001
1887.5	291.41397
1888.5	291.76300
1889.5	292.11301
1890.5	292.45798
1891.5	292.81598
1892.5	293.16696
1893.5	293.47699
1894.5	293.79099
1895.5	294.07901
1896.5	294.36502
1897.5	294.64600
1898.5	294.95401
1899.5	295.30002
1900.5	295.67499
1901.5	296.00699
1902.5	296.32501
1903.5	296.65399
1904.5	296.95398
1905.5	297.28900
1906.5	297.66202
1907.5	298.09799
1908.5	298.51797
1909.5	298.93600
1910.5	299.37698
1911.5	299.82898
1912.5	300.35300
1913.5	300.91000
1914.5	301.41898
1915.5	301.93698
1916.5	302.48495
1917.5	303.01102
1918.5	303.44901
1919.5	303.81403
1920.5	304.24600
1921.5	304.60001
1922.5	304.94501
1923.5	305.27097
1924.5	305.63000
1925.5	305.81299
1926.5	305.95401
1927.5	306.17700
1928.5	306.32898
1929.5	306.49500
1930.5	306.61996
1931.5	306.82199
1932.5	307.09299
1933.5	307.40201
1934.5	307.78500
1935.5	308.22702
1936.5	309.01199
1937.5	309.76398
1938.5	310.29398
1939.5	310.85095
1940.5	311.35696
1941.5	311.81097
1942.5	312.17200
1943.5	312.38998
1944.5	312.41299
1945.5	312.38498
1946.5	312.38995
1947.5	312.48596
1948.5	312.52097
1949.5	312.63193
1950.5	312.82095
1951.5	313.01398
1952.5	313.34198
1953.5	313.72995
1954.5	314.09494
1955.5	314.41495
1956.5	314.69797
1957.5	314.99197
1958.5	315.34497
1959.5	315.80698
1960.5	316.62500
1961.5	317.29898
1962.5	318.04398
1963.5	318.64996
1964.5	319.33298
1965.5	319.81595
1966.5	320.87991
1967.5	321.47995
1968.5	322.38895
1969.5	323.25095
1970.5	324.78299
1971.5	325.39993
1972.5	327.34897
1973.5	329.90894
1974.5	330.75595
1975.5	330.82693
1976.5	331.54495
1977.5	333.35294
1978.5	335.00995
1979.5	336.60495
1980.5	338.70493
1981.5	340.05893
1982.5	340.64395
1983.5	342.26596
1984.5	344.00793
1985.5	345.45895
1986.5	346.90295
1987.5	348.77493
1988.5	351.27591
1989.5	352.89392
1990.5	354.07297
1991.5	355.35294
1992.5	356.22891
1993.5	356.92493
1994.5	358.25400
1995.5	360.23892
1996.5	362.00497
1997.5	363.25195
1998.5	365.93295
1999.5	367.84497
2000.5	369.12497
2001.5	370.67297
2002.5	372.83499
2003.5	375.41098
2004.5	376.98703
2005.5	378.90707
2006.5	381.01001
2007.5	382.60300
2008.5	384.73904
2009.5	386.28000
2010.5	388.71704
2011.5	390.94406
2012.5	393.01599
2013.5	395.72501
2014.5	397.54700
2015.5	399.9491272
2016.5	403.1169739
2017.5	405.7509766
2018.5	408.5869751
2019.5	411.4049683
2020.5	414.2139587
2021.5	417.0139771
2022.5	419.6989746
2023.5	422.1699524
2024.5	424.4429626
2025.5	426.5249634
