Species,Type,leaf_d13C,leaf_D13C,latitude,longitude,author,year
Nothofagus dombeyi,C3,NA,21.8,-40.783,-72.333,Read_etal,1985
Nothofagus pseudoresinosa,C3,NA,17.8,-5.833,145.133,Read_etal,1985
Nothofagus cunninghamii,C3,NA,21.4,-42.683,146.633,Read_etal,1985
Nothofagus gunnii,C3,NA,18.9,-42.683,146.633,Read_etal,1985
Nothofagus pullei,C3,NA,21.6,-6.167,143.917,Read_etal,1985
Nothofagus antarctica,C3,NA,23.3,-39.55,-72.05,Read_etal,1985
Clethra lanata,C3,-29.7783,21.84216694,10.333,-66.833,Sobrado,1986
Oyedaea verbesinoides,C3,-28.9139,20.97776694,10.333,-66.833,Sobrado,1986
Croton megalodendron,C3,-25.91805,17.98191694,10.333,-66.833,Sobrado,1986
Ficus mathewsii,C3,-27.28465,19.34851694,10.333,-66.833,Sobrado,1986
Ardisia quinquegona,C3,-31.35,23.80805178,23.13,112.58,Ehleringer_etal,1986
Castanopsis sclerophylla,C3,-29.8,22.25805178,23.13,112.58,Ehleringer_etal,1986
Dicranopteris linearis,C3,-27.99,20.44805178,23.13,112.58,Ehleringer_etal,1986
Eucalyptus robusta,C3,-27.4,19.85805178,23.13,112.58,Ehleringer_etal,1986
Melicope pteleifolia,C3,-31.29,23.74805178,23.13,112.58,Ehleringer_etal,1986
Pinus henryi,C3,-26.4,18.85805178,23.13,112.58,Ehleringer_etal,1986
Psychotria hoffmannseggiana,C3,-33.82,26.27805178,23.13,112.58,Ehleringer_etal,1986
Rhodomyrtus tomentosa,C3,-30.38,22.83805178,23.13,112.58,Ehleringer_etal,1986
Schefflera heptaphylla,C3,-31.95,24.40805178,23.13,112.58,Ehleringer_etal,1986
Schima superba,C3,-31.55,24.00805178,23.13,112.58,Ehleringer_etal,1986
Bowdichia virgilioides,C3,-28.32,20.76820791,9.617,-70.2,Goldstein_etal,1986
Byrsonima cinerea,C3,-30.23,22.67820791,9.617,-70.2,Goldstein_etal,1986
Casearia sylvestris,C3,-30.12,22.56820791,9.617,-70.2,Goldstein_etal,1986
Cochlospermum vitifolium,C3,-28.17,20.61820791,9.617,-70.2,Goldstein_etal,1986
Curatella americana,C3,-29.11,21.55820791,9.617,-70.2,Goldstein_etal,1986
Genipa caruto,C3,-29.57,22.01820791,9.617,-70.2,Goldstein_etal,1986
Godmania aesculifolia,C3,-28.57,21.01820791,9.617,-70.2,Goldstein_etal,1986
Palicourea grandiflora,C3,-26.74,19.18820791,9.617,-70.2,Goldstein_etal,1986
Acamptopappus sphaerocephalus,C3,-28.2,20.66728941,34.95,-114.42,Ehleringer_etal,1987
Ambrosia dumosa,C3,-25.9,18.36728941,34.95,-114.42,Ehleringer_etal,1987
Ambrosia eriocentra,C3,-26.5,18.96728941,34.95,-114.42,Ehleringer_etal,1987
Bebbia juncea,C3,-27.1,19.56728941,34.95,-114.42,Ehleringer_etal,1987
Ericameria paniculata,C3,-27.6,20.06728941,34.95,-114.42,Ehleringer_etal,1987
Purshia mexicana,C3,-24.6,17.06728941,34.95,-114.42,Ehleringer_etal,1987
Adenophyllum porophylloides,C3,-27,19.46728941,34.95,-114.42,Ehleringer_etal,1987
Encelia farinosa,C3,-25.3,17.76728941,34.95,-114.42,Ehleringer_etal,1987
Encelia frutescens,C3,-28.3,20.76728941,34.95,-114.42,Ehleringer_etal,1987
Eriogonum fasciculatum,C3,-26.4,18.86728941,34.95,-114.42,Ehleringer_etal,1987
Krascheninnikovia ceratoides,C3,-26.1,18.56728941,34.95,-114.42,Ehleringer_etal,1987
Gaura coccinea,C3,-26.8,19.26728941,34.95,-114.42,Ehleringer_etal,1987
Gutierrezia microcephala,C3,-27.2,19.66728941,34.95,-114.42,Ehleringer_etal,1987
Gutierrezia microcephala,C3,-26.2,18.66728941,34.95,-114.42,Ehleringer_etal,1987
Haplopappus linearfolius,C3,-25,17.46728941,34.95,-114.42,Ehleringer_etal,1987
Hymenoclea salsola,C3,-26.1,18.56728941,34.95,-114.42,Ehleringer_etal,1987
Larrea divaricata,C3,-23.3,15.76728941,34.95,-114.42,Ehleringer_etal,1987
Lepidium fremontii,C3,-25.4,17.86728941,34.95,-114.42,Ehleringer_etal,1987
Lycium andersonii,C3,-26.6,19.06728941,34.95,-114.42,Ehleringer_etal,1987
Porophyllum gracile,C3,-27.8,20.26728941,34.95,-114.42,Ehleringer_etal,1987
Prunus fasciculata,C3,-26,18.46728941,34.95,-114.42,Ehleringer_etal,1987
Psilostrophe cooperi,C3,-27,19.46728941,34.95,-114.42,Ehleringer_etal,1987
Rhus trilobata,C3,-23.9,16.36728941,34.95,-114.42,Ehleringer_etal,1987
Scutellaria mexicana,C3,-26.4,18.86728941,34.95,-114.42,Ehleringer_etal,1987
Salvia dorrii,C3,-27.9,20.36728941,34.95,-114.42,Ehleringer_etal,1987
Senecio flaccidus,C3,-25.2,17.66728941,34.95,-114.42,Ehleringer_etal,1987
Sphaeralcea parvifolia,C3,-25.7,18.16728941,34.95,-114.42,Ehleringer_etal,1987
Stephanomeria pauciflora,C3,-26.6,19.06728941,34.95,-114.42,Ehleringer_etal,1987
Thamnosma montana,C3,-25.7,18.16728941,34.95,-114.42,Ehleringer_etal,1987
Abacopteris multilineatum,C3,-29.88,22.33805178,23.13,112.58,Ehleringer_etal,1987
Adenosma glutinosum,C3,-30.32,22.77805178,23.13,112.58,Ehleringer_etal,1987
Adiantum capillus-veneris,C3,-29.2,21.65805178,23.13,112.58,Ehleringer_etal,1987
Adiantum flabellulatum,C3,-32.76,25.21805178,23.13,112.58,Ehleringer_etal,1987
Ageratum conyzoides,C3,-30.85,23.30805178,23.13,112.58,Ehleringer_etal,1987
Alchornea trewioides,C3,-29.65,22.10805178,23.13,112.58,Ehleringer_etal,1987
Alocasia macrorrhizos,C3,-27.74,20.19805178,23.13,112.58,Ehleringer_etal,1987
Alpinia chinensis,C3,-33.2,25.65805178,23.13,112.58,Ehleringer_etal,1987
Alpinia pumila,C3,-28.2,20.65805178,23.13,112.58,Ehleringer_etal,1987
Alpinia zerumbet,C3,-34.6,27.05805178,23.13,112.58,Ehleringer_etal,1987
Alternanthera philoxeroides,C3,-29.3,21.75805178,23.13,112.58,Ehleringer_etal,1987
Angiopteris fokiensis,C3,-30.74,23.19805178,23.13,112.58,Ehleringer_etal,1987
Aporosa yunnanensis,C3,-30.82,23.27805178,23.13,112.58,Ehleringer_etal,1987
Arundina chinensis,C3,-29.86,22.31805178,23.13,112.58,Ehleringer_etal,1987
Baeckea frutescens,C3,-29.36,21.81805178,23.13,112.58,Ehleringer_etal,1987
Begonia fimbristipula,C3,-33.1,25.55805178,23.13,112.58,Ehleringer_etal,1987
Canarium luzonicum,C3,-28.31,20.76805178,23.13,112.58,Ehleringer_etal,1987
